iter	Passed	Remaining
0	77	76991
1	90	45376
2	103	3435033	114	2853244	125	2499955	136	2264566	148	2111477	160	1985788	172	1900899	184	18229110	195	17566111	205	16959112	215	16332113	226	15924114	237	15611115	248	15298116	257	14900117	268	14664118	279	14418119	290	14222220	301	14059221	311	13833222	321	13660223	332	1352624	341	13315
225	357	13388226	370	13358227	383	13311228	395	13257229	407	13166330	418	13081331	430	13032332	441	12939333	453	12871334	462	12750335	474	12692336	486	12650337	496	12570338	506	1248239	515	12381
40	533	12478
41	548	12519
42	569	12669
43	584	12690
44	605	12852
45	620	12872
46	638	12940
47	654	12977
48	670	13015
49	686	13034
50	701	13054
51	720	13129
52	736	13156
53	753	13195
54	762	13103
55	775	13065
56	785	12994
57	797	12955
58	811	12939
59	821	12877
60	833	12827
61	843	12756
62	853	12698
63	864	12645
64	875	12590
65	887	12555
66	899	12519
67	910	12476
68	921	12431
69	932	12387
70	942	12338
71	955	12312
72	968	12292
73	978	12249
74	990	12215
75	1001	12178
76	1013	12151
77	1024	12108
78	1037	12094
79	1049	12072
80	1062	12054
81	1073	12018
82	1085	11992
83	1096	11958
84	1105	11900
85	1119	11892
86	1130	11862
87	1143	11852
88	1154	11813
89	1165	11781
90	1175	11745
91	1184	11693
92	1196	11673
93	1208	11645
94	1220	11622
95	1230	11583
96	1242	11567
97	1254	11542
98	1263	11499
99	1273	11458
100	1284	11433
101	1295	11405
102	1306	11378
103	1317	11352
104	1327	11319
105	1346	11355
106	1357	11326
107	1370	11317
108	1381	11296
109	1392	11269
110	1405	11257
111	1418	11248
112	1433	11250
113	1445	11231
114	1452	11179
115	1463	11151
116	1471	11105
117	1478	11049
118	1486	11006
119	1526	11196
120	1537	11171
121	1550	11159
122	1561	11136
123	1571	11102
124	1582	11079
125	1591	11038
126	1600	11001
127	1612	10984
128	1623	10963
129	1634	10937
130	1644	10911
131	1656	10889
132	1668	10879
133	1680	10858
134	1692	10844
135	1703	10825
136	1713	10796
137	1725	10781
138	1739	10773
139	1750	10752
140	1761	10733
141	1773	10717
142	1784	10697
143	1797	10685
144	1808	10662
145	1821	10652
146	1831	10628
147	1841	10598
148	1853	10586
149	1865	10569
150	1876	10553
151	1887	10528
152	1897	10501
153	1908	10483
154	1918	10461
155	1932	10455
156	1945	10445
157	1957	10430
158	1968	10412
159	1979	10392
160	1992	10384
161	2002	10359
162	2013	10336
163	2023	10314
164	2034	10296
165	2047	10286
166	2056	10257
167	2067	10237
168	2077	10216
169	2088	10199
